paid_only,frequency,progress,stat.question_id,stat.question__article__slug,title,slug,is_hidden,total_accepted,total_submissions,id,stat.is_new_question,difficulty.level,ProblemDescription,num_solutions,num_likes,Python_Declaration,Python_Solutions
False,0,0,1,two-sum,Two Sum,two-sum,False,9231586,18601982,1,False,1,"Can you solve this real interview question? Two Sum - Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.

You may assume that each input would have exactly one solution, and you may not use the same element twice.

You can return the answer in any order.

 

Example 1:


Input: nums = [2,7,11,15], target = 9
Output: [0,1]
Explanation: Because nums[0] + nums[1] == 9, we return [0, 1].


Example 2:


Input: nums = [3,2,4], target = 6
Output: [1,2]


Example 3:


Input: nums = [3,3], target = 6
Output: [0,1]


 

Constraints:

 * 2 <= nums.length <= 104
 * -109 <= nums[i] <= 109
 * -109 <= target <= 109
 * Only one valid answer exists.

 

Follow-up: Can you come up with an algorithm that is less than O(n2) time complexity?",Solutions (17.7K),44.7K,"# Created by asetti2002 at 2024/04/17 02:19
# leetgo: 1.4.3
# https://leetcode.com/problems/two-sum/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def twoSum(self, nums: List[int], target: int) -> List[int]:
        

# @lc code=end

if __name__ == ""__main__"":
    nums: List[int] = deserialize(""List[int]"", read_line())
    target: int = deserialize(""int"", read_line())
    ans = Solution().twoSum(nums, target)
    print(""\noutput:"", serialize(ans, ""integer[]""))
","class Solution:
    def twoSum(self, nums: List[int], target: int) -> List[int]:
        seen = {}
        for i, num in enumerate(nums):
            if target - num in seen:
                return [seen[target - num], i]
            seen[num] = i"
False,0,0,3,longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,False,4352624,12867877,3,False,2,"Can you solve this real interview question? Longest Substring Without Repeating Characters - Given a string s, find the length of the longest substring without repeating characters.

 

Example 1:


Input: s = ""abcabcbb""
Output: 3
Explanation: The answer is ""abc"", with the length of 3.


Example 2:


Input: s = ""bbbbb""
Output: 1
Explanation: The answer is ""b"", with the length of 1.


Example 3:


Input: s = ""pwwkew""
Output: 3
Explanation: The answer is ""wke"", with the length of 3.
Notice that the answer must be a substring, ""pwke"" is a subsequence and not a substring.


 

Constraints:

 * 0 <= s.length <= 5 * 104
 * s consists of English letters, digits, symbols and spaces.",Solutions (14.4K),33K,"# Created by asetti2002 at 2024/04/17 02:19
# leetgo: 1.4.3
# https://leetcode.com/problems/longest-substring-without-repeating-characters/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def lengthOfLongestSubstring(self, s: str) -> int:
        

# @lc code=end

if __name__ == ""__main__"":
    s: str = deserialize(""str"", read_line())
    ans = Solution().lengthOfLongestSubstring(s)
    print(""\noutput:"", serialize(ans, ""integer""))
","class Solution:
    def lengthOfLongestSubstring(self, s: str) -> int:
        left = 0
        max_length = 0
        char_index = {}
        
        for right in range(len(s)):
            if s[right] in char_index:
                left = max(left, char_index[s[right]] + 1)
            
            char_index[s[right]] = right
            max_length = max(max_length, right - left + 1)
        
        return max_length"
False,0,0,4,,Median of Two Sorted Arrays,median-of-two-sorted-arrays,False,1836611,5086097,4,False,3,"Can you solve this real interview question? Median of Two Sorted Arrays - Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays.

The overall run time complexity should be O(log (m+n)).

 

Example 1:


Input: nums1 = [1,3], nums2 = [2]
Output: 2.00000
Explanation: merged array = [1,2,3] and median is 2.


Example 2:


Input: nums1 = [1,2], nums2 = [3,4]
Output: 2.50000
Explanation: merged array = [1,2,3,4] and median is (2 + 3) / 2 = 2.5.


 

Constraints:

 * nums1.length == m
 * nums2.length == n
 * 0 <= m <= 1000
 * 0 <= n <= 1000
 * 1 <= m + n <= 2000
 * -106 <= nums1[i], nums2[i] <= 106",Solutions (10.5K),22.8K,"# Created by asetti2002 at 2024/04/17 02:19
# leetgo: 1.4.3
# https://leetcode.com/problems/median-of-two-sorted-arrays/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:
        

# @lc code=end

if __name__ == ""__main__"":
    nums1: List[int] = deserialize(""List[int]"", read_line())
    nums2: List[int] = deserialize(""List[int]"", read_line())
    ans = Solution().findMedianSortedArrays(nums1, nums2)
    print(""\noutput:"", serialize(ans, ""double""))
","class Solution:
    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:
        pass"
False,0,0,5,longest-palindromic-substring,Longest Palindromic Substring,longest-palindromic-substring,False,2338796,7218275,5,False,2,"Can you solve this real interview question? Longest Palindromic Substring - Given a string s, return the longest palindromic substring in s.

 

Example 1:


Input: s = ""babad""
Output: ""bab""
Explanation: ""aba"" is also a valid answer.


Example 2:


Input: s = ""cbbd""
Output: ""bb""


 

Constraints:

 * 1 <= s.length <= 1000
 * s consist of only digits and English letters.",Solutions (7.6K),24.5K,"# Created by asetti2002 at 2024/04/17 02:19
# leetgo: 1.4.3
# https://leetcode.com/problems/longest-palindromic-substring/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def longestPalindrome(self, s: str) -> str:
        

# @lc code=end

if __name__ == ""__main__"":
    s: str = deserialize(""str"", read_line())
    ans = Solution().longestPalindrome(s)
    print(""\noutput:"", serialize(ans, ""string""))
","class Solution:
    def longestPalindrome(self, s: str) -> str:
        def expandAroundCenter(left, right):
            while left >= 0 and right < len(s) and s[left] == s[right]:
                left -= 1
                right += 1
            return s[left+1:right]
        
        res = """"
        for i in range(len(s)):
            palindrome1 = expandAroundCenter(i, i)
            palindrome2 = expandAroundCenter(i, i+1)
            palindrome = palindrome1 if len(palindrome1) > len(palindrome2) else palindrome2
            if len(palindrome) > len(res):
                res = palindrome
        return res"
False,0,0,6,zigzag-conversion,Zigzag Conversion,zigzag-conversion,False,998873,2228706,6,False,2,"Can you solve this real interview question? Zigzag Conversion - The string ""PAYPALISHIRING"" is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility)


P   A   H   N
A P L S I I G
Y   I   R


And then read line by line: ""PAHNAPLSIIGYIR""

Write the code that will take a string and make this conversion given a number of rows:


string convert(string s, int numRows);


 

Example 1:


Input: s = ""PAYPALISHIRING"", numRows = 3
Output: ""PAHNAPLSIIGYIR""


Example 2:


Input: s = ""PAYPALISHIRING"", numRows = 4
Output: ""PINALSIGYAHRPI""
Explanation:
P     I    N
A   L S  I G
Y A   H R
P     I


Example 3:


Input: s = ""A"", numRows = 1
Output: ""A""


 

Constraints:

 * 1 <= s.length <= 1000
 * s consists of English letters (lower-case and upper-case), ',' and '.'.
 * 1 <= numRows <= 1000",Solutions (5.7K),5.9K,"# Created by asetti2002 at 2024/04/17 02:19
# leetgo: 1.4.3
# https://leetcode.com/problems/zigzag-conversion/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def convert(self, s: str, numRows: int) -> str:
        

# @lc code=end

if __name__ == ""__main__"":
    s: str = deserialize(""str"", read_line())
    numRows: int = deserialize(""int"", read_line())
    ans = Solution().convert(s, numRows)
    print(""\noutput:"", serialize(ans, ""string""))
","class Solution:
    def convert(self, s: str, numRows: int) -> str:
        if numRows == 1 or numRows >= len(s):
            return s
        
        rows = [''] * numRows
        index, step = 0, 1
        
        for char in s:
            rows[index] += char
            
            if index == 0:
                step = 1
            elif index == numRows - 1:
                step = -1
            
            index += step
        
        return ''.join(rows)"
False,0,0,7,reverse-integer,Reverse Integer,reverse-integer,False,2512940,9163189,7,False,2,"Can you solve this real interview question? Reverse Integer - Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-231, 231 - 1], then return 0.

Assume the environment does not allow you to store 64-bit integers (signed or unsigned).

 

Example 1:


Input: x = 123
Output: 321


Example 2:


Input: x = -123
Output: -321


Example 3:


Input: x = 120
Output: 21


 

Constraints:

 * -231 <= x <= 231 - 1",Solutions (10.5K),10.2K,"# Created by asetti2002 at 2024/04/17 02:19
# leetgo: 1.4.3
# https://leetcode.com/problems/reverse-integer/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def reverse(self, x: int) -> int:
        

# @lc code=end

if __name__ == ""__main__"":
    x: int = deserialize(""int"", read_line())
    ans = Solution().reverse(x)
    print(""\noutput:"", serialize(ans, ""integer""))
","class Solution:
    def reverse(self, x: int) -> int:
        if x < 0:
            result = -int(str(x)[:0:-1])
        else:
            result = int(str(x)[::-1])
        return result if -2**31 <= result <= 2**31 - 1 else 0"
False,0,0,8,string-to-integer,String to Integer (atoi),string-to-integer-atoi,False,1217426,7330773,8,False,2,"Can you solve this real interview question? String to Integer (atoi) - Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer (similar to C/C++'s atoi function).

The algorithm for myAtoi(string s) is as follows:

 1. Read in and ignore any leading whitespace.
 2. Check if the next character (if not already at the end of the string) is '-' or '+'. Read this character in if it is either. This determines if the final result is negative or positive respectively. Assume the result is positive if neither is present.
 3. Read in next the characters until the next non-digit character or the end of the input is reached. The rest of the string is ignored.
 4. Convert these digits into an integer (i.e. ""123"" -> 123, ""0032"" -> 32). If no digits were read, then the integer is 0. Change the sign as necessary (from step 2).
 5. If the integer is out of the 32-bit signed integer range [-231, 231 - 1], then clamp the integer so that it remains in the range. Specifically, integers less than -231 should be clamped to -231, and integers greater than 231 - 1 should be clamped to 231 - 1.
 6. Return the integer as the final result.

Note:

 * Only the space character ' ' is considered a whitespace character.
 * Do not ignore any characters other than the leading whitespace or the rest of the string after the digits.

 

Example 1:


Input: s = ""42""
Output: 42
Explanation: The underlined characters are what is read in, the caret is the current reader position.
Step 1: ""42"" (no characters read because there is no leading whitespace)
         ^
Step 2: ""42"" (no characters read because there is neither a '-' nor '+')
         ^
Step 3: ""42"" (""42"" is read in)
           ^
The parsed integer is 42.
Since 42 is in the range [-231, 231 - 1], the final result is 42.


Example 2:


Input: s = ""   -42""
Output: -42
Explanation:
Step 1: ""   -42"" (leading whitespace is read and ignored)
            ^
Step 2: ""   -42"" ('-' is read, so the result should be negative)
             ^
Step 3: ""   -42"" (""42"" is read in)
               ^
The parsed integer is -42.
Since -42 is in the range [-231, 231 - 1], the final result is -42.


Example 3:


Input: s = ""4193 with words""
Output: 4193
Explanation:
Step 1: ""4193 with words"" (no characters read because there is no leading whitespace)
         ^
Step 2: ""4193 with words"" (no characters read because there is neither a '-' nor '+')
         ^
Step 3: ""4193 with words"" (""4193"" is read in; reading stops because the next character is a non-digit)
             ^
The parsed integer is 4193.
Since 4193 is in the range [-231, 231 - 1], the final result is 4193.


 

Constraints:

 * 0 <= s.length <= 200
 * s consists of English letters (lower-case and upper-case), digits (0-9), ' ', '+', '-', and '.'.",Solutions (5.9K),3.1K,"# Created by asetti2002 at 2024/04/17 02:19
# leetgo: 1.4.3
# https://leetcode.com/problems/string-to-integer-atoi/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def myAtoi(self, s: str) -> int:
        

# @lc code=end

if __name__ == ""__main__"":
    s: str = deserialize(""str"", read_line())
    ans = Solution().myAtoi(s)
    print(""\noutput:"", serialize(ans, ""integer""))
","class Solution:
    def myAtoi(self, s: str) -> int:
        MAX_INT = 2**31 - 1
        MIN_INT = -2**31
        
        s = s.strip()
        if not s:
            return 0
        
        sign = 1
        if s[0] == '-':
            sign = -1
            s = s[1:]
        elif s[0] == '+':
            s = s[1:]
        
        result = 0
        for char in s:
            if not char.isdigit():
                break
            result = result * 10 + int(char)
        
        result = sign * result
        if result > MAX_INT:
            return MAX_INT
        elif result < MIN_INT:
            return MIN_INT
        else:
            return result"
False,0,0,9,palindrome-number,Palindrome Number,palindrome-number,False,3022247,5650445,9,False,1,"Can you solve this real interview question? Palindrome Number - Given an integer x, return true if x is a palindrome, and false otherwise.

 

Example 1:


Input: x = 121
Output: true
Explanation: 121 reads as 121 from left to right and from right to left.


Example 2:


Input: x = -121
Output: false
Explanation: From left to right, it reads -121. From right to left, it becomes 121-. Therefore it is not a palindrome.


Example 3:


Input: x = 10
Output: false
Explanation: Reads 01 from right to left. Therefore it is not a palindrome.


 

Constraints:

 * -231 <= x <= 231 - 1

 

Follow up: Could you solve it without converting the integer to a string?",Solutions (10.9K),9.2K,"# Created by asetti2002 at 2024/04/17 02:19
# leetgo: 1.4.3
# https://leetcode.com/problems/palindrome-number/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def isPalindrome(self, x: int) -> bool:
        

# @lc code=end

if __name__ == ""__main__"":
    x: int = deserialize(""int"", read_line())
    ans = Solution().isPalindrome(x)
    print(""\noutput:"", serialize(ans, ""boolean""))
","class Solution:
    def isPalindrome(self, x: int) -> bool:
        if x < 0:
            return False
        temp = x
        reverse = 0
        while temp != 0:
            reverse = reverse * 10 + temp % 10
            temp = temp // 10        
        return x == reverse"
False,0,0,10,regular-expression-matching,Regular Expression Matching,regular-expression-matching,False,796915,2843606,10,False,3,"Can you solve this real interview question? Regular Expression Matching - Given an input string s and a pattern p, implement regular expression matching with support for '.' and '*' where:

 * '.' Matches any single character.
 * '*' Matches zero or more of the preceding element.

The matching should cover the entire input string (not partial).

 

Example 1:


Input: s = ""aa"", p = ""a""
Output: false
Explanation: ""a"" does not match the entire string ""aa"".


Example 2:


Input: s = ""aa"", p = ""a*""
Output: true
Explanation: '*' means zero or more of the preceding element, 'a'. Therefore, by repeating 'a' once, it becomes ""aa"".


Example 3:


Input: s = ""ab"", p = "".*""
Output: true
Explanation: "".*"" means ""zero or more (*) of any character (.)"".


 

Constraints:

 * 1 <= s.length <= 20
 * 1 <= p.length <= 20
 * s contains only lowercase English letters.
 * p contains only lowercase English letters, '.', and '*'.
 * It is guaranteed for each appearance of the character '*', there will be a previous valid character to match.",Solutions (2.8K),10.3K,"# Created by asetti2002 at 2024/04/17 02:19
# leetgo: 1.4.3
# https://leetcode.com/problems/regular-expression-matching/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def isMatch(self, s: str, p: str) -> bool:
        

# @lc code=end

if __name__ == ""__main__"":
    s: str = deserialize(""str"", read_line())
    p: str = deserialize(""str"", read_line())
    ans = Solution().isMatch(s, p)
    print(""\noutput:"", serialize(ans, ""boolean""))
","class Solution:
    def isMatch(self, s: str, p: str) -> bool:
        dp = [[False] * (len(p) + 1) for _ in range(len(s) + 1)]
        dp[0][0] = True
        for j in range(1, len(p) + 1):
            if p[j-1] == '*':
                dp[0][j] = dp[0][j-2]
        for i in range(1, len(s) + 1):
            for j in range(1, len(p) + 1):
                if p[j-1] in {s[i-1], '.'}:
                    dp[i][j] = dp[i-1][j-1]
                elif p[j-1] == '*':
                    dp[i][j] = dp[i][j-2] or (dp[i-1][j] and p[j-2] in {s[i-1], '.'})
        return dp[len(s)][len(p)]"
False,0,0,11,container-with-most-water,Container With Most Water,container-with-most-water,False,2018405,3736805,11,False,2,"Can you solve this real interview question? Container With Most Water - You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]).

Find two lines that together with the x-axis form a container, such that the container contains the most water.

Return the maximum amount of water a container can store.

Notice that you may not slant the container.

 

Example 1:

[https://s3-lc-upload.s3.amazonaws.com/uploads/2018/07/17/question_11.jpg]


Input: height = [1,8,6,2,5,4,8,3,7]
Output: 49
Explanation: The above vertical lines are represented by array [1,8,6,2,5,4,8,3,7]. In this case, the max area of water (blue section) the container can contain is 49.


Example 2:


Input: height = [1,1]
Output: 1


 

Constraints:

 * n == height.length
 * 2 <= n <= 105
 * 0 <= height[i] <= 104",Solutions (7.3K),23.4K,"# Created by asetti2002 at 2024/04/17 02:19
# leetgo: 1.4.3
# https://leetcode.com/problems/container-with-most-water/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def maxArea(self, height: List[int]) -> int:
        

# @lc code=end

if __name__ == ""__main__"":
    height: List[int] = deserialize(""List[int]"", read_line())
    ans = Solution().maxArea(height)
    print(""\noutput:"", serialize(ans, ""integer""))
","class Solution:
    def maxArea(self, height: List[int]) -> int:
        left = 0
        right = len(height) - 1
        max_water = 0

        while left < right:
            width = right - left
            h = min(height[left], height[right])
            area = width * h
            max_water = max(max_water, area)

            if height[left] < height[right]:
                left += 1
            else:
                right -= 1

        return max_water"
